,Name,Property_Type,Bedrooms,Baths,Balcony,City,Location,Total_Area,Price_per_SQFT,Price,Property Title,Area_type,Segment_type
9066,Property in  Manali,Independent House,3 BHK,3,Yes,Chennai,"Harikrishnapuram, Manali,Chennai",1200,6670,8000000,"3 BHK Independent House for sale in Manali, Chennai",Mid sized Property,Mid Segment
9067,Property in Vandalur,Independent House,2 BHK,3,Yes,Chennai,"Sri Sai mm nagar,Vandalur, Chennai",990,4300,4261000,"2 BHK Independent House for sale in Vandalur, Chennai",Mid sized Property,Affordable Segment
9068,Property in Red Hills,Independent House,1 RK,3,Yes,Chennai,"Pratheesh suppliers ,Red Hills, Chennai",1740,1260,2200000,"1 BHK Independent House for sale in Red Hills, Chennai",Mid sized Property,Affordable Segment
9069,Property in Perungalathur,Flat,2 BHK,2,No,Chennai,"JC shelters,Perungalathur, Chennai",745,4030,3000000,"2 BHK Flat for sale in Perungalathur, Chennai",Small Property,Affordable Segment
9070,Property in Avadi,Independent House,3 BHK,3,No,Chennai,"Avadi, Chennai",1400,4640,6500000,"3 BHK Independent House for sale in Avadi, Chennai",Mid sized Property,Mid Segment
9071,Property in Periyapalayam,Villa,2 BHK,3,Yes,Chennai,"Periyapalayam, Chennai",1050,3330,3500000,"2 BHK Villa for sale in Periyapalayam, Chennai",Mid sized Property,Affordable Segment
9072,Property in Veerapuram,Independent House,2 BHK,3,No,Chennai,"Veerapuram, Chennai",1000,2100,2100000,"2 BHK Independent House for sale in Veerapuram, Chennai",Mid sized Property,Affordable Segment
9073,Property in  Thirumullaivoyal,Flat,3 BHK,3,Yes,Chennai,"Aravind Nakshatra,JAK Nagar, Thirumullaivoyal,Chennai",1210,4790,5800000,"3 BHK Flat for sale in Thirumullaivoyal, Chennai",Mid sized Property,Affordable Segment
9074,Property in  Triplicane,Flat,2 BHK,2,No,Chennai,"Building om shakthi nilayam ,Narayana Krishnaraja Puram, Triplicane,Chennai",678,9140,6200000,"2 BHK Flat for sale in Triplicane, Chennai",Small Property,Mid Segment
9075,Property in  Chengalpattu,Independent House,2 BHK,5,Yes,Chennai,"Anna Nagar, Chengalpattu,Chennai",800,4130,3300000,"2 BHK Independent House for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
9076,Property in  Purasawalkam,Independent House,4 BHK,3,Yes,Chennai,"Lumbini Square, Purasawalkam,Chennai",1500,5000,7500000,"4 BHK Independent House for sale in Purasawalkam, Chennai",Mid sized Property,Mid Segment
9077,Property in  Ambattur,Flat,3 BHK,3,Yes,Chennai,"Sakthi Sai Apartment Ambattur,Pudur, Ambattur,Chennai",1100,5730,6300000,"3 BHK Flat for sale in Ambattur, Chennai",Mid sized Property,Mid Segment
9078,Property in Oragadam Ambattur,Independent House,2 BHK,3,No,Chennai,"Oragadam Ambattur, Chennai",850,6470,5500000,"2 BHK Independent House for sale in Oragadam Ambattur, Chennai",Mid sized Property,Affordable Segment
9079,Property in Oragadam Ambattur,Independent House,2 BHK,3,No,Chennai,"Oragadam Ambattur, Chennai",850,6470,5500000,"2 BHK Independent House for sale in Oragadam Ambattur, Chennai",Mid sized Property,Affordable Segment
9080,Property in  Madipakkam,Independent House,3 BHK,3,No,Chennai,"Rajaji Nagar Extention, Madipakkam,Chennai",1248,6010,7500000,"3 BHK Independent House for sale in Madipakkam, Chennai",Mid sized Property,Mid Segment
9081,Property in  Chengalpattu,Independent House,1 RK,2,No,Chennai,"Anna Nagar, Chengalpattu,Chennai",400,5290,2115000,"1 BHK Independent House for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
9082,Property in Kumananchavadi,Flat,2 BHK,3,No,Chennai,"Foundations ,Kumananchavadi, Chennai",901,6660,6000000,"2 BHK Flat for sale in Kumananchavadi, Chennai",Mid sized Property,Affordable Segment
9083,Property in Avadi,Independent House,2 BHK,3,Yes,Chennai,"Avadi, Chennai",1250,6080,7600000,"2 BHK Independent House for sale in Avadi, Chennai",Mid sized Property,Mid Segment
9084,Property in  Kodungaiyur West,Independent House,1 RK,1,Yes,Chennai,"MUTHAMIZH NAGAR KODUNGAIYUR,Muthamizh Nagar, Kodungaiyur West,Chennai",390,8330,3250000,"1 BHK Independent House for sale in Kodungaiyur West, Chennai",Small Property,Affordable Segment
9085,Property in  Washermanpet,Independent House,1 RK,1,Yes,Chennai,"Korukkupet, Washermanpet,Chennai",355,1410,500000,"1 BHK Independent House for sale in Washermanpet, Chennai",Small Property,Affordable Segment
9086,Property in  Ambattur,Flat,2 BHK,3,No,Chennai,"Bhogar,Menambedu, Ambattur,Chennai",803,3070,2465000,"2 BHK Flat for sale in Ambattur, Chennai",Mid sized Property,Affordable Segment
9087,Property in  Chengalpattu,Independent House,1 RK,2,Yes,Chennai,"Anna Nagar, Chengalpattu,Chennai",400,4050,1620000,"1 BHK Independent House for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
9088,Property in Ambattur,Flat,2 BHK,2,Yes,Chennai,"CHANDRA FLATS AMBATTUR ,Ambattur, Chennai",690,5800,4000000,"2 BHK Flat for sale in Ambattur, Chennai",Small Property,Affordable Segment
9089,Property in  Manali,Independent House,2 BHK,3,Yes,Chennai,"Chinnasekkadu, Manali,Chennai",1400,4290,6000000,"2 BHK Independent House for sale in Manali, Chennai",Mid sized Property,Affordable Segment
9090,Property in  Pallikaranai,Flat,3 BHK,3,No,Chennai,"Kaietha Milleth Nagar, Pallikaranai,Chennai",1074,6820,7330000,"3 BHK Flat for sale in Pallikaranai, Chennai",Mid sized Property,Mid Segment
9091,Property in  Thiruvallur,Independent House,2 BHK,3,Yes,Chennai,"Chinnaekkadu, Thiruvallur,Chennai",900,4440,4000000,"2 BHK Independent House for sale in Thiruvallur, Chennai",Mid sized Property,Affordable Segment
9092,Property in Guduvancheri,Independent House,3 BHK,3,No,Chennai,"Guduvancheri, Chennai",1340,5600,7500000,"3 BHK Independent House for sale in Guduvancheri, Chennai",Mid sized Property,Mid Segment
9093,Property in  Kodungaiyur East,Independent House,2 BHK,3,No,Chennai,"Kaviarasu Kannadasan Nagar, Kodungaiyur East,Chennai",1100,5360,5900000,"2 BHK Independent House for sale in Kodungaiyur East, Chennai",Mid sized Property,Affordable Segment
9094,Property in  Thiruvallur,Independent House,3 BHK,4,Yes,Chennai,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",2340,1710,4000000,"3 BHK Independent House for sale in Thiruvallur, Chennai",Mid-Large sized Property,Affordable Segment
9095,Property in  Thoraipakkam,Independent House,2 BHK,2,Yes,Chennai,"Indira Nagar, Thoraipakkam,Chennai",700,5000,3500000,"2 BHK Independent House for sale in Thoraipakkam, Chennai",Small Property,Affordable Segment
9096,Property in  Kodungaiyur West,Independent House,2 BHK,3,Yes,Chennai,"Lakshmi Ammal Nagar, Kodungaiyur West,Chennai",1100,5360,5900000,"2 BHK Independent House for sale in Kodungaiyur West, Chennai",Mid sized Property,Affordable Segment
9097,Property in  West Tambaram,Independent House,6 BHK,4,No,Chennai,"Patel Nagar, West Tambaram,Chennai",800,11250,9000000,"6 RK Independent House for sale in West Tambaram, Chennai",Small Property,Mid Segment
9098,Property in  Ambattur,Flat,2 BHK,2,Yes,Chennai,"Southern Fou,Kalyanapuram, Ambattur,Chennai",650,5690,3700000,"2 BHK Flat for sale in Ambattur, Chennai",Small Property,Affordable Segment
9099,Property in  Chengalpattu,Independent House,2 BHK,2,No,Chennai,"Golden heaven site chengalpattu,Alapakkam, Chengalpattu,Chennai",600,5420,3250000,"2 BHK Independent House for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
9100,Property in  Thiruvallur,Flat,1 RK,2,Yes,Chennai,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",538,3900,2100000,"1 BHK Flat for sale in Thiruvallur, Chennai",Small Property,Affordable Segment
9101,Property in  Thirumullaivoyal,Villa,3 BHK,3,Yes,Chennai,"Manikanda Puram, Thirumullaivoyal,Chennai",1450,4140,6000000,"3 BHK Villa for sale in Thirumullaivoyal, Chennai",Mid sized Property,Affordable Segment
9102,Property in  Manali,Independent House,2 BHK,2,No,Chennai,"Manali New Town, Manali,Chennai",632,4270,2700000,"2 BHK Independent House for sale in Manali, Chennai",Small Property,Affordable Segment
9103,Property in  Gerugambakkam,Independent House,2 BHK,2,No,Chennai,"Sakthi Avenue, Gerugambakkam,Chennai",600,7500,4500000,"2 BHK Independent House for sale in Gerugambakkam, Chennai",Small Property,Affordable Segment
9104,Property in  Madhanandapuram,Independent House,1 RK,2,No,Chennai,"Vigneshwara Nagar, Madhanandapuram,Chennai",600,6170,3700000,"1 BHK Independent House for sale in Madhanandapuram, Chennai",Small Property,Affordable Segment
9105,Property in  Pozhichalur,Flat,2 BHK,3,Yes,Chennai,"Saai Nivas flats,Bhavani Nagar, Pozhichalur,Chennai",850,4120,3500000,"2 BHK Flat for sale in Pozhichalur, Chennai",Mid sized Property,Affordable Segment
9106,Property in  Thiruvallur,Villa,2 BHK,3,No,Chennai,"TNHB Kakkalur,Ma. Po. Si. Nagar, Thiruvallur,Chennai",1000,5800,5800000,"2 BHK Villa for sale in Thiruvallur, Chennai",Mid sized Property,Affordable Segment
9107,Property in  Korattur,Independent House,5 BHK,3,Yes,Chennai,"Kallikuppam muthamilnagar,Kallikuppam, Korattur,Chennai",2000,4250,8500000,"5 BHK Independent House for sale in Korattur, Chennai",Mid sized Property,Mid Segment
9108,Property in  Ponniammanmedu,Flat,2 BHK,3,Yes,Chennai,"cradle,Prakash Nagar, Ponniammanmedu,Chennai",950,5790,5500000,"2 BHK Flat for sale in Ponniammanmedu, Chennai",Mid sized Property,Affordable Segment
9109,Property in  Kolapakkam,Independent House,3 BHK,3,No,Chennai,"Maxworth Nagar Phase 1, Kolapakkam,Chennai",990,3540,3500000,"3 BHK Independent House for sale in Kolapakkam, Chennai",Mid sized Property,Affordable Segment
9110,Property in  Thiruverkkadu,Independent House,1 RK,3,No,Chennai,"Eswaran Nagar, Thiruverkkadu,Chennai",1200,4750,5700000,"1 BHK Independent House for sale in Thiruverkkadu, Chennai",Mid sized Property,Affordable Segment
9111,Property in  Thiruvallur,Independent House,2 BHK,3,No,Chennai,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1200,5000,6000000,"2 BHK Independent House for sale in Thiruvallur, Chennai",Mid sized Property,Affordable Segment
9112,Property in Sikkarayapuram,Independent House,2 BHK,3,Yes,Chennai,"Thillai Natarajan Nagar,Sikkarayapuram, Chennai",1700,4470,7600000,"2 BHK Independent House for sale in Sikkarayapuram, Chennai",Mid sized Property,Mid Segment
9113,Property in  Porur,Flat,1 RK,2,Yes,Chennai,"sri mookamigai appartment,Krishna Industrial Estate, Porur,Chennai",575,4170,2400000,"1 RK Flat for sale in Porur, Chennai",Small Property,Affordable Segment
9114,Property in  Perumbakkam,Flat,2 BHK,1,No,Chennai,"Cheran Nagar, Perumbakkam,Chennai",800,3880,3100000,"2 BHK Flat for sale in Perumbakkam, Chennai",Small Property,Affordable Segment
9115,Property in  Old Washermanpet,Flat,4 BHK,3,No,Chennai,"Pudumanaikuppam, Old Washermanpet,Chennai",1538,5850,9000000,"4 BHK Flat for sale in Old Washermanpet, Chennai",Mid sized Property,Mid Segment
9116,Property in  Ayappakkam,Independent House,2 BHK,3,Yes,Chennai,"Bhavani Nagar, Ayappakkam,Chennai",1250,5600,7000000,"2 BHK Independent House for sale in Ayappakkam, Chennai",Mid sized Property,Mid Segment
