,Name,Property_Type,Bedrooms,Baths,Balcony,City,Location,Total_Area,Price_per_SQFT,Price,Property Title,Area_type,Segment_type
0,Casagrand ECR 14,Flat,4 BHK,4,Yes,Chennai,"Kanathur Reddikuppam, Chennai",2583,7700,19900000,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",Mid-Large sized Property,Mid Segment
1,DAC Prapthi,Flat,3 BHK,3,No,Chennai,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580,10000000,"3 BHK Flat for sale in West Tambaram, Chennai",Mid sized Property,Mid Segment
2,DRA 90 Degrees,Flat,3 BHK,3,No,Chennai,"Rose Avenue, Pallikaranai,Chennai",1444,9000,13000000,"3 BHK Flat for sale in Pallikaranai, Chennai",Mid sized Property,Mid Segment
3,Ramcons Dominion,Flat,3 BHK,3,Yes,Chennai,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680,26000000,"3 BHK Flat for sale in Nungambakkam, Chennai",Mid sized Property,Mid Segment
4,VGN Coasta,Flat,4 BHK,5,Yes,Chennai,"Muttukadu, Chennai",4200,7070,29700000,"4 BHK Flat for sale in Muttukadu, Chennai",Large Property,Mid Segment
5,CasaGrand Vistaaz,Villa,3 BHK,3,No,Chennai,"Kolapakkam - Vandalur, Chennai",1566,6900,10800000,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",Mid sized Property,Mid Segment
6,Vasantham,Flat,3 BHK,3,Yes,Chennai,"Maruthi Nagar, Sembakkam,Chennai",1712,6720,11500000,"3 BHK Flat for sale in Sembakkam, Chennai",Mid sized Property,Mid Segment
7,Golden Jubilee Flats,Flat,3 BHK,3,Yes,Chennai,"Thirumangalam, Anna Nagar West,Chennai",1100,9090,10000000,"3 BHK Flat for sale in Anna Nagar West, Chennai",Mid sized Property,Mid Segment
8,Prestige Bella Vista,Flat,3 BHK,3,Yes,Chennai,"Iyyappanthangal, Chennai",1791,7260,13000000,"3 BHK Flat for sale in Iyyappanthangal, Chennai",Mid sized Property,Mid Segment
9,Ozone Metrozone,Flat,4 BHK,4,Yes,Chennai,"Thirumangalam, Anna Nagar West,Chennai",2661,11270,30000000,"4 BHK Flat for sale in Anna Nagar West, Chennai",Mid-Large sized Property,Mid Segment
10,GR Natarajan Sundaravedam,Flat,3 BHK,3,No,Chennai,"Parthasarathy Puram, T Nagar,Chennai",1495,18390,27500000,"3 BHK Flat for sale in T Nagar, Chennai",Mid sized Property,Mid Segment
11,BSR Nerkundram,Independent House,4 BHK,3,No,Chennai,"Tirumalai Nagar, Koyambedu,Chennai",1400,8210,11500000,"4 BHK Independent House for sale in Koyambedu, Chennai",Mid sized Property,Mid Segment
12,Adityaram Nagar Phase 5,Villa,4 BHK,5,Yes,Chennai,"Adityaram Nagar, Panaiyur,Chennai",3500,7430,26000000,"4 BHK Villa for sale in Panaiyur, Chennai",Mid-Large sized Property,Mid Segment
13,CasaGrand Monte Carlo,Flat,3 BHK,3,Yes,Chennai,"Gotha Medu Housing Board, Saidapet,Chennai",1881,12970,24400000,"3 BHK Flat for sale in Saidapet, Chennai",Mid sized Property,Mid Segment
14,Pacifica Happiness Towers,Flat,4 BHK,4,Yes,Chennai,"Padur, Chennai",2232,5600,12500000,"4 BHK Flat for sale in Padur, Chennai",Mid-Large sized Property,Mid Segment
15,Pacifica Aurum Villas,Villa,4 BHK,4,Yes,Chennai,"Padur, Chennai",2117,6610,14000000,"4 BHK Villa for sale in Padur, Chennai",Mid-Large sized Property,Mid Segment
16,Prestige Courtyards by Prestige Estates Projects Ltd.,Flat,3 BHK,3,Yes,Chennai,"Sholinganallur, Chennai",1689,7820,13200000,"3 BHK Flat for sale in Sholinganallur, Chennai",Mid sized Property,Mid Segment
17,Golden Luxury Villas by Golden Homes,Villa,3 BHK,3,No,Chennai,"Ekkatuthangal, Chennai",1200,24170,29000000,"3 BHK Villa for sale in Ekkatuthangal, Chennai",Mid sized Property,Mid Segment
18,Aurum Villas,Villa,3 BHK,4,Yes,Chennai,"Padur, Chennai",2150,7670,16500000,"3 BHK Villa for sale in Padur, Chennai",Mid-Large sized Property,Mid Segment
19,Casagrand Arena,Villa,3 BHK,3,Yes,Chennai,"Oragadam Ambattur, Chennai",1545,8090,12500000,"3 BHK Villa for sale in Oragadam Ambattur, Chennai",Mid sized Property,Mid Segment
20,Pacifica Aurum Villas by Pacifica Companies,Flat,4 BHK,4,Yes,Chennai,"Padur, Chennai",2200,6820,15000000,"4 BHK Flat for sale in Padur, Chennai",Mid-Large sized Property,Mid Segment
21,Navins Kaushik,Flat,3 BHK,3,Yes,Chennai,"Ramakrishna Puram, West Mambalam,Chennai",1269,12610,16000000,"3 BHK Flat for sale in West Mambalam, Chennai",Mid sized Property,Mid Segment
22,Sudharshan Homes,Flat,2 BHK,3,No,Chennai,"Periyar Nagar, Velachery,Chennai",1152,9000,10400000,"2 BHK Flat for sale in Velachery, Chennai",Mid sized Property,Mid Segment
23,Krishna Flats,Flat,2 BHK,3,No,Chennai,"Natesa Nagar, Virugambakkam,Chennai",1365,8420,11500000,"2 BHK Flat for sale in Virugambakkam, Chennai",Mid sized Property,Mid Segment
24,Vijay Raja Classic,Villa,3 BHK,3,Yes,Chennai,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1734,6340,11000000,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",Mid sized Property,Mid Segment
25,VGN Coasta,Flat,3 BHK,3,No,Chennai,"Muttukadu, Chennai",1540,8440,13000000,"3 BHK Flat for sale in Muttukadu, Chennai",Mid sized Property,Mid Segment
26,Tulip Apartment,Flat,2 BHK,3,No,Chennai,"Kamdar Nagar, Nungambakkam,Chennai",1150,11740,13500000,"2 BHK Flat for sale in Nungambakkam, Chennai",Mid sized Property,Mid Segment
27,Man Pearl Reside,Flat,3 BHK,3,Yes,Chennai,"Thiruvenkatapuram, Choolaimedu,Chennai",1260,8730,11000000,"3 BHK Flat for sale in Choolaimedu, Chennai",Mid sized Property,Mid Segment
28,Akshaya Level Up,Flat,3 BHK,4,Yes,Chennai,"Nungambakkam, Chennai",2700,17410,47000000,"3 BHK Flat for sale in Nungambakkam, Chennai",Mid-Large sized Property,Luxury Segment
29,"KG Royal Palm, Kilpauk",Independent House,6 BHK,4,Yes,Chennai,"Aspiran Garden Colony, Kilpauk,Chennai",2500,10000,25000000,"6 BHK Independent House for sale in Kilpauk, Chennai",Mid-Large sized Property,Mid Segment
30,Casa Grande Novus,Flat,3 BHK,2,Yes,Chennai,"Kannammapet, CIT Nagar,Chennai",768,22000,16900000,"3 BHK Flat for sale in CIT Nagar, Chennai",Small Property,Mid Segment
31,Jain West Minster,Flat,3 BHK,3,Yes,Chennai,"Pushpa Colony, Saligramam,Chennai",1385,10830,15000000,"3 BHK Flat for sale in Saligramam, Chennai",Mid sized Property,Mid Segment
32, Jadhav Jain Atisaya,Flat,2 BHK,3,No,Chennai,"Trustpuram, Kodambakkam,Chennai",1120,10710,12000000,"2 BHK Flat for sale in Kodambakkam, Chennai",Mid sized Property,Mid Segment
33,Sumanth Sreshta Leela,Flat,3 BHK,4,Yes,Chennai,"Gandhi Nagar, Adyar,Chennai",2340,19870,46500000,"3 BHK Flat for sale in Adyar, Chennai",Mid-Large sized Property,Luxury Segment
34,Macro Jus,Flat,3 BHK,3,Yes,Chennai,"Kapali Thottam, Mylapore,Chennai",1750,16510,28900000,"3 BHK Flat for sale in Mylapore, Chennai",Mid sized Property,Mid Segment
35,VGN LA PARISIENNE ,Flat,3 BHK,3,Yes,Chennai,"Nolambur, Ambattur Industrial Estate,Chennai",1309,8400,11000000,"3 BHK Flat for sale in Ambattur Industrial Estate, Chennai",Mid sized Property,Mid Segment
36,Euro Flats,Flat,3 BHK,3,Yes,Chennai,"Kotturpuram, Chennai",1900,11580,22000000,"3 BHK Flat for sale in Kotturpuram, Chennai",Mid sized Property,Mid Segment
37,Mahalakshmi Apartments,Flat,3 BHK,3,No,Chennai,"Rajaji Nagar Extention, Madipakkam,Chennai",1149,10880,12500000,"3 BHK Flat for sale in Madipakkam, Chennai",Mid sized Property,Mid Segment
38,Sri Rama Nivas,Flat,3 BHK,3,Yes,Chennai,"Reddi Kuppam, West Mambalam,Chennai",1225,10610,13000000,"3 BHK Flat for sale in West Mambalam, Chennai",Mid sized Property,Mid Segment
39,Appaswamy Arcot Terrace,Flat,2 BHK,3,No,Chennai,"Somasundara Bharathi Nagar, Vadapalani,Chennai",1231,13000,16000000,"2 BHK Flat for sale in Vadapalani, Chennai",Mid sized Property,Mid Segment
40,DLF Commanders Court,Flat,4 BHK,4,Yes,Chennai,"Egmore, Chennai",2583,15480,40000000,"4 BHK Flat for sale in Egmore, Chennai",Mid-Large sized Property,Luxury Segment
41,Radiance Icon,Flat,2 BHK,3,No,Chennai,"Nerkundram, Koyambedu,Chennai",1002,11980,12000000,"2 BHK Flat for sale in Koyambedu, Chennai",Mid sized Property,Mid Segment
42,Purva Windermere,Flat,3 BHK,4,Yes,Chennai,"Pallikaranai, Chennai",2160,6480,14000000,"3 BHK Flat for sale in Pallikaranai, Chennai",Mid-Large sized Property,Mid Segment
43,Nakar Navkar Residency by Nakar Homes,Flat,3 BHK,3,Yes,Chennai,"Korukkupet, Washermanpet,Chennai",1750,7260,12700000,"3 BHK Flat for sale in Washermanpet, Chennai",Mid sized Property,Mid Segment
44,Shamrock Apartment,Flat,3 BHK,3,Yes,Chennai,"Dummingkuppam, Santhome,Chennai",1584,12630,20000000,"3 BHK Flat for sale in Santhome, Chennai",Mid sized Property,Mid Segment
45,Altis Oceanique,Flat,3 BHK,3,Yes,Chennai,"Muttukadu, Chennai",1785,8960,16000000,"3 BHK Flat for sale in Muttukadu, Chennai",Mid sized Property,Mid Segment
46,Ceebros Shyamala Gardens,Flat,3 BHK,3,Yes,Chennai,"Annamalai Colony, Saligramam,Chennai",1330,12780,17000000,"3 BHK Flat for sale in Saligramam, Chennai",Mid sized Property,Mid Segment
47,Radiance Empire,Flat,3 BHK,3,Yes,Chennai,"Vyasarnagar Colony, Vyasarpadi,Chennai",1405,11390,16000000,"3 BHK Flat for sale in Vyasarpadi, Chennai",Mid sized Property,Mid Segment
48,ARRR's Pavithram,Flat,3 BHK,3,No,Chennai,"Kulattur, Chennai",1465,7850,11500000,"3 BHK Flat for sale in Kulattur, Chennai",Mid sized Property,Mid Segment
49,SIS Meridian by South India Shelters ,Flat,3 BHK,3,No,Chennai,"Velachery, Chennai",1300,10000,13000000,"3 BHK Flat for sale in Velachery, Chennai",Mid sized Property,Mid Segment
50,Casagrand ECR 14,Flat,3 BHK,3,Yes,Chennai,"Kanathur Reddikuppam, Chennai",1821,6700,12200000,"3 BHK Flat for sale in Kanathur Reddikuppam, Chennai",Mid sized Property,Mid Segment
51,Arihant Panache,Flat,3 BHK,3,No,Chennai,"Arumbakkam, Chennai",1564,9590,15000000,"3 BHK Flat for sale in Arumbakkam, Chennai",Mid sized Property,Mid Segment
52,Indira Ekkaduthangal by Indira Foundations (P) Ltd,Independent House,4 BHK,4,Yes,Chennai,"Ekkatuthangal, Chennai",6000,5330,32000000,"4 BHK Independent House for sale in Ekkatuthangal, Chennai",Large Property,Luxury Segment
53,Rams Mahalingapuram Apartment,Flat,2 BHK,3,No,Chennai,"Mahalingapuram, Nungambakkam,Chennai",1100,13180,14500000,"2 BHK Flat for sale in Nungambakkam, Chennai",Mid sized Property,Mid Segment
54,Arun Villa Juhu Beach,Flat,2 BHK,3,Yes,Chennai,"Uthandi, Chennai",1748,5720,10000000,"2 BHK Flat for sale in Uthandi, Chennai",Mid sized Property,Mid Segment
55,Arihant Garuda,Flat,4 BHK,3,Yes,Chennai,"Venkatesapuram Colony, Ayanavaram,Chennai",1650,9700,16000000,"4 BHK Flat for sale in Ayanavaram, Chennai",Mid sized Property,Mid Segment
56,Nataraja Nilayam,Flat,3 BHK,3,Yes,Chennai,"Parthasarathy Puram, T Nagar,Chennai",1550,6450,10000000,"3 BHK Flat for sale in T Nagar, Chennai",Mid sized Property,Mid Segment
57,Macro Wood Creek County Phase II and III,Independent House,3 BHK,3,No,Chennai,"Tulasingapuram, Nandambakkam,Chennai",1501,11660,17500000,"3 BHK Independent House for sale in Nandambakkam, Chennai",Mid sized Property,Mid Segment
58,CasaGrand The Address,Flat,4 BHK,4,Yes,Chennai,"Karapakkam, Chennai",2336,8130,19000000,"4 BHK Flat for sale in Karapakkam, Chennai",Mid-Large sized Property,Mid Segment
59,Casagrand Bellissimo,Flat,2 BHK,3,Yes,Chennai,"Kannan Colony, Pazhavanthangal,Chennai",1282,10530,13500000,"2 BHK Flat for sale in Pazhavanthangal, Chennai",Mid sized Property,Mid Segment
60,UV Tambaram,Villa,2 BHK,5,Yes,Chennai,"Mullai Nagar, West Tambaram,Chennai",4500,6670,30000000,"2 BHK Villa for sale in West Tambaram, Chennai",Large Property,Mid Segment
61,Hiranandani Emerald,Flat,3 BHK,4,Yes,Chennai,"Hirco Palace Gardens, Chennai",2256,4650,10500000,"3 BHK Flat for sale in Hirco Palace Gardens, Chennai",Mid-Large sized Property,Mid Segment
62,Hiranandani Emerald,Flat,4 BHK,4,Yes,Chennai,"Hirco Palace Gardens, Chennai",2804,4640,13000000,"4 BHK Flat for sale in Hirco Palace Gardens, Chennai",Mid-Large sized Property,Mid Segment
63,Flats,Flat,7 BHK,5,Yes,Chennai,"Kundrathur, Chennai",3500,3710,13000000,"7 BHK Flat for sale in Kundrathur, Chennai",Mid-Large sized Property,Mid Segment
64,Vijay Sri Jayendra Apartment by Vijay Shanthi Builders,Villa,3 BHK,3,Yes,Chennai,"Ponmar, Chennai",1800,6670,12000000,"3 BHK Villa for sale in Ponmar, Chennai",Mid sized Property,Mid Segment
65,Hiranandani Parks Apartment,Flat,4 BHK,4,Yes,Chennai,"Oragadam Sriperambattur, Chennai",2350,4890,11500000,"4 BHK Flat for sale in Oragadam Sriperambattur, Chennai",Mid-Large sized Property,Mid Segment
66,Jain Saagarika by Jain Housing & Constructions Ltd,Flat,2 BHK,3,No,Chennai,"Kumizhi, Nallambakkam,Chennai",1235,13520,16700000,"2 BHK Flat for sale in Nallambakkam, Chennai",Mid sized Property,Mid Segment
67,City Square NRI Center City,Flat,2 BHK,3,No,Chennai,"NRI Center City, Chennai",900,13330,12000000,"2 BHK Flat for sale in NRI Center City, Chennai",Mid sized Property,Mid Segment
68,VGN Coasta,Flat,3 BHK,3,Yes,Chennai,"Muttukadu, Chennai",1650,7700,12700000,"3 BHK Flat for sale in Muttukadu, Chennai",Mid sized Property,Mid Segment
69,Hiranandani Parks Apartment,Flat,4 BHK,4,Yes,Chennai,"Oragadam Sriperambattur, Chennai",2289,4370,10000000,"4 BHK Flat for sale in Oragadam Sriperambattur, Chennai",Mid-Large sized Property,Mid Segment
70,JHL Chengalpet,Independent House,1 RK,3,Yes,Chennai,"Chengalpattu, Chennai",1500,7330,11000000,"1 BHK Independent House for sale in Chengalpattu, Chennai",Mid sized Property,Mid Segment
71,Casagrand Pavilion,Independent House,4 BHK,4,Yes,Chennai,"Semmancheri, Chennai",2400,6250,15000000,"4 BHK Independent House for sale in Semmancheri, Chennai",Mid-Large sized Property,Mid Segment
72,Landster Water Front,Villa,3 BHK,4,Yes,Chennai,"Muttukadu, Chennai",2290,5680,13000000,"3 BHK Villa for sale in Muttukadu, Chennai",Mid-Large sized Property,Mid Segment
73,Macro Wood Creek County Phase IV,Independent House,3 BHK,3,Yes,Chennai,"Tulasingapuram, Nandambakkam,Chennai",1750,11140,19500000,"3 BHK Independent House for sale in Nandambakkam, Chennai",Mid sized Property,Mid Segment
74,Casa Grand Asta 1,Flat,4 BHK,4,Yes,Chennai,"Karukku, Korattur,Chennai",2096,7160,15000000,"4 BHK Flat for sale in Korattur, Chennai",Mid-Large sized Property,Mid Segment
75,Casagrand Bellissimo,Flat,3 BHK,3,Yes,Chennai,"Kannan Colony, Pazhavanthangal,Chennai",1635,10700,17500000,"3 BHK Flat for sale in Pazhavanthangal, Chennai",Mid sized Property,Mid Segment
76,Radiance Green Springs,Villa,5 BHK,5,Yes,Chennai,"Muttukadu, Chennai",5600,7130,39900000,"5 BHK Villa for sale in Muttukadu, Chennai",Large Property,Luxury Segment
77,Balaji Apartment,Flat,5 BHK,5,Yes,Chennai,"Amman Koil South, George Town,Chennai",4810,4990,24000000,"5 BHK Flat for sale in George Town, Chennai",Large Property,Mid Segment
78,North Town,Flat,3 BHK,3,Yes,Chennai,"Binny Garden, Jamalia,Chennai",1363,10270,14000000,"3 BHK Flat for sale in Jamalia, Chennai",Mid sized Property,Mid Segment
79,Sagas Vaibhav Enclave,Flat,3 BHK,3,No,Chennai,"Injambakkam, Chennai",1378,8710,12000000,"3 BHK Flat for sale in Injambakkam, Chennai",Mid sized Property,Mid Segment
80,Mayapuri Leo Taurus,Flat,3 BHK,1,Yes,Chennai,"Rajiv Nagar, Perungudi,Chennai",6000,2500,15000000,"3 BHK Flat for sale in Perungudi, Chennai",Large Property,Mid Segment
81,Elgin Court,Flat,3 BHK,3,Yes,Bangalore,"KSRTC Colony, Shanti Nagar,Bangalore",1750,14290,25000000,"3 BHK Flat for sale in Shanti Nagar, Bangalore",Mid sized Property,Mid Segment
82,Shriram Blue,Flat,3 BHK,3,Yes,Bangalore,"Sonnenahalli Colony, Krishnarajapura,Bangalore",1650,8180,13500000,"3 BHK Flat for sale in Krishnarajapura, Bangalore",Mid sized Property,Mid Segment
83,Embassy Lake Terraces,Flat,3 BHK,6,Yes,Bangalore,"Hebbal Kempapura, Bangalore",3554,11680,41500000,"3 BHK Flat for sale in Hebbal Kempapura, Bangalore",Large Property,Luxury Segment
84,Nitesh Central Park,Flat,3 BHK,3,Yes,Bangalore,"Prakruthi Nagar, Kogilu,Bangalore",1558,7060,11000000,"3 BHK Flat for sale in Kogilu, Bangalore",Mid sized Property,Mid Segment
85,Prestige Pinewood,Flat,3 BHK,3,Yes,Bangalore,"Koramangala, Bangalore",1839,20660,38000000,"3 BHK Flat for sale in Koramangala, Bangalore",Mid sized Property,Luxury Segment
86,Prestige Golfshire,Villa,4 BHK,6,Yes,Bangalore,"Kodalagurki, Bangalore",6879,17440,120000000,"4 BHK Villa for sale in Kodalagurki, Bangalore",Large Property,Luxury Segment
87,Prestige Woodland Park by Prestige Estates Projects Ltd.,Flat,2 BHK,3,Yes,Bangalore,"Dodda Banaswadi, Bangalore",1405,14230,20000000,"2.5 BHK Flat for sale in Dodda Banaswadi, Bangalore",Mid sized Property,Mid Segment
88,Capita Caroline Springs,Independent House,4 BHK,6,Yes,Bangalore,"Biotech Park, Chandapura,Bangalore",3100,3710,11500000,"4 BHK Independent House for sale in Chandapura, Bangalore",Mid-Large sized Property,Mid Segment
89,Arge Urban Bloom by Arge Realty,Flat,3 BHK,3,Yes,Bangalore,"Yesvantpur Industrial Suburb, Yeshwanthpur,Bangalore",1700,9710,16500000,"3 BHK Flat for sale in Yeshwanthpur, Bangalore",Mid sized Property,Mid Segment
90,Hiranandani Calgary,Flat,2 BHK,3,Yes,Bangalore,"Chikkasanne, Bangalore",1440,9170,13200000,"2 BHK Flat for sale in Chikkasanne, Bangalore",Mid sized Property,Mid Segment
91,Celebrity Natures Habitat,Villa,3 BHK,2,Yes,Bangalore,"BEML Cooperative Society Layout, Byalahalli,Bangalore",2000,6500,13000000,"3 BHK Villa for sale in Byalahalli, Bangalore",Mid sized Property,Mid Segment
92,Total Environment Learning To Fly,Flat,3 BHK,4,Yes,Bangalore,"6th Phase, JP Nagar,Bangalore",2700,15740,42500000,"3 BHK Flat for sale in JP Nagar, Bangalore",Mid-Large sized Property,Luxury Segment
93,Prestige Bagmane Temple Bells,Flat,3 BHK,3,Yes,Bangalore,"5th Stage, RR Nagar,Bangalore",1600,8750,14000000,"3 BHK Flat for sale in RR Nagar, Bangalore",Mid sized Property,Mid Segment
94,Legacy Madelia,Flat,3 BHK,5,Yes,Bangalore,"Abshot Layout, Vasanth Nagar,Bangalore",4170,20140,84000000,"3 BHK Flat for sale in Vasanth Nagar, Bangalore",Large Property,Luxury Segment
95,Atco Sapphire,Flat,3 BHK,3,Yes,Bangalore,"Sree Narayana Nagar, Kada Agrahara,Bangalore",1620,8020,13000000,"3 BHK Flat for sale in Kada Agrahara, Bangalore",Mid sized Property,Mid Segment
96,Brigade 7 Gardens,Flat,3 BHK,3,Yes,Bangalore,"Happy Valley Layout, Subramanyapura,Bangalore",1395,7880,11000000,"3 BHK Flat for sale in Subramanyapura, Bangalore",Mid sized Property,Mid Segment
97,MC Fortune,Flat,3 BHK,3,Yes,Bangalore,"Nallurhalli, Whitefield,Bangalore",1512,7740,11700000,"3 BHK Flat for sale in Whitefield, Bangalore",Mid sized Property,Mid Segment
98,Brigade Gardenia Annexe,Flat,3 BHK,3,Yes,Bangalore,"7th Phase, JP Nagar,Bangalore",1820,10500,19100000,"3 BHK Flat for sale in JP Nagar, Bangalore",Mid sized Property,Mid Segment
99,SLV Jasmine,Flat,3 BHK,3,Yes,Bangalore,"Mathikere Extension, Mathikere,Bangalore",1625,8310,13500000,"3 BHK Flat for sale in Mathikere, Bangalore",Mid sized Property,Mid Segment
100,RMZ Sawaan,Villa,5 BHK,5,Yes,Bangalore,"Maruthi Nagar, Yelahanka,Bangalore",4350,11720,51000000,"5 BHK Villa for sale in Yelahanka, Bangalore",Large Property,Luxury Segment
101,Brigade Orchards,Flat,4 BHK,3,Yes,Bangalore,"Devanahalli, Bangalore",1980,6060,12000000,"4 BHK Flat for sale in Devanahalli, Bangalore",Mid sized Property,Mid Segment
102,Prestige Falcon City,Flat,2 BHK,3,Yes,Bangalore,"Anjanadri Layout, Konanakunte,Bangalore",1274,12170,15500000,"2 BHK Flat for sale in Konanakunte, Bangalore",Mid sized Property,Mid Segment
103,A-Knight Swasthall,Flat,3 BHK,3,No,Bangalore,"Basavanagudi, Bangalore",1501,7860,11800000,"3 BHK Flat for sale in Basavanagudi, Bangalore",Mid sized Property,Mid Segment
104,Mantri Mantri Paradise,Flat,3 BHK,3,No,Bangalore,"Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",1375,9450,13000000,"3 BHK Flat for sale in Bilekahalli, Bangalore",Mid sized Property,Mid Segment
105,RMZ Galleria,Flat,3 BHK,3,Yes,Bangalore,"Ambedkar Colony, Yelahanka,Bangalore",1910,10990,21000000,"3 BHK Flat for sale in Yelahanka, Bangalore",Mid sized Property,Mid Segment
106,Brigade Millennium Magnolia,Flat,3 BHK,3,Yes,Bangalore,"7th Phase, JP Nagar,Bangalore",1800,9720,17500000,"3 BHK Flat for sale in JP Nagar, Bangalore",Mid sized Property,Mid Segment
107,Ranka Court Apartments,Flat,2 BHK,3,Yes,Bangalore,"Cambridge Layout, Jogupalya,Bangalore",1350,12590,17000000,"2 BHK Flat for sale in Jogupalya, Bangalore",Mid sized Property,Mid Segment
108,Sobha Dream Acres,Flat,2 BHK,3,No,Bangalore,"Balagere, Bangalore",1220,9920,12100000,"2 BHK Flat for sale in Balagere, Bangalore",Mid sized Property,Mid Segment
109,Sobha Victoria Park Phase 2 by Sobha Limited,Flat,3 BHK,3,Yes,Bangalore,"Vadarpalya, Hennur,Bangalore",1824,10800,19700000,"3 BHK Flat for sale in Hennur, Bangalore",Mid sized Property,Mid Segment
110,Prestige Jindal City by Prestige Estates Projects Ltd.,Flat,2 BHK,3,No,Bangalore,"HMT Estate, Jalahalli,Bangalore",980,10200,10000000,"2 BHK Flat for sale in Jalahalli, Bangalore",Mid sized Property,Mid Segment
111,Salarpuria Gold Summit,Flat,3 BHK,4,Yes,Bangalore,"Kuvempu Layout, Visthar,Bangalore",2350,8550,20100000,"3 BHK Flat for sale in Visthar, Bangalore",Mid-Large sized Property,Mid Segment
112,Prestige Lakeside Habitat Villas by Prestige Estates Projects Ltd.,Flat,2 BHK,3,No,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1216,10280,12500000,"2 BHK Flat for sale in Whitefield, Bangalore",Mid sized Property,Mid Segment
113,Sobha Palm Court by Sobha Limited,Flat,3 BHK,3,Yes,Bangalore,"Prakruthi Nagar, Kogilu,Bangalore",1820,9890,18000000,"3 BHK Flat for sale in Kogilu, Bangalore",Mid sized Property,Mid Segment
114,Prestige Royale Gardens,Flat,3 BHK,3,Yes,Bangalore,"Muddanahalli, Bangalore",1705,6390,10900000,"3 BHK Flat for sale in Muddanahalli, Bangalore",Mid sized Property,Mid Segment
115,Sobha Lake Garden,Flat,3 BHK,3,Yes,Bangalore,"Duravani Nagar, Krishnarajapura,Bangalore",1765,8780,15500000,"3 BHK Flat for sale in Krishnarajapura, Bangalore",Mid sized Property,Mid Segment
116,Sattva Luxuria,Flat,3 BHK,4,Yes,Bangalore,"Malleswaram, Bangalore",2210,18100,40000000,"3 BHK Flat for sale in Malleswaram, Bangalore",Mid-Large sized Property,Luxury Segment
117,Sobha City,Flat,3 BHK,3,Yes,Bangalore,"Devin Paradise Enclave, Tirumanahalli,Bangalore",1564,8630,13500000,"3 BHK Flat for sale in Tirumanahalli, Bangalore",Mid sized Property,Mid Segment
118,Sobha Lake Garden by Sobha Limited,Flat,3 BHK,3,Yes,Bangalore,"Hampapura, Bangalore",1765,8780,15500000,"3 BHK Flat for sale in Hampapura, Bangalore",Mid sized Property,Mid Segment
119,Mantri Serenity,Flat,3 BHK,3,Yes,Bangalore,"Singapore Gardens And Green Fields, Subramanyapura,Bangalore",1720,9010,15500000,"3 BHK Flat for sale in Subramanyapura, Bangalore",Mid sized Property,Mid Segment
120,Brigade Northridge Neo by Brigade Enterprises Ltd,Flat,3 BHK,3,Yes,Bangalore,"Prakruthi Nagar, Kogilu,Bangalore",1880,8510,16000000,"3.5 BHK Flat for sale in Kogilu, Bangalore",Mid sized Property,Mid Segment
121,Provident Park Square by Provident Housing Limited,Flat,3 BHK,3,Yes,Bangalore,"Judicial Layout, Bangalore",1308,8410,11000000,"3 BHK Flat for sale in Judicial Layout, Bangalore",Mid sized Property,Mid Segment
122,Pashmina Pashmina Waterfront by Pashmina Developers,Flat,3 BHK,3,Yes,Bangalore,"Hampapura, Bangalore",1918,6520,12500000,"3 BHK Flat for sale in Hampapura, Bangalore",Mid sized Property,Mid Segment
123,Total Environment In That Quiet Earth Phase 2B by Total Environment Building Systems,Flat,4 BHK,4,Yes,Bangalore,"Kothanur, Bangalore",2900,8620,25000000,"4 BHK Flat for sale in Kothanur, Bangalore",Mid-Large sized Property,Mid Segment
124,Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 by Sobha Limited,Flat,3 BHK,3,Yes,Bangalore,"Anekal, Bangalore",1755,9690,17000000,"3 BHK Flat for sale in Anekal, Bangalore",Mid sized Property,Mid Segment
125,Mantri Serenity by Mantri Developers,Flat,3 BHK,3,Yes,Bangalore,"Lingadheeranahalli, Bangalore",1701,8820,15000000,"3 BHK Flat for sale in Lingadheeranahalli, Bangalore",Mid sized Property,Mid Segment
126,Godrej 24,Flat,3 BHK,3,Yes,Bangalore,"Volagerekallahalli, Bangalore",1552,7730,12000000,"3 BHK Flat for sale in Volagerekallahalli, Bangalore",Mid sized Property,Mid Segment
127,Godrej 24,Flat,3 BHK,3,No,Bangalore,"Volagerekallahalli, Bangalore",1573,6990,11000000,"3 BHK Flat for sale in Volagerekallahalli, Bangalore",Mid sized Property,Mid Segment
128,Sobha Royal Pavilion,Flat,3 BHK,3,No,Bangalore,"Mattanahalli, Bangalore",1507,11940,18000000,"3 BHK Flat for sale in Mattanahalli, Bangalore",Mid sized Property,Mid Segment
129,Valmark Apas,Villa,4 BHK,2,Yes,Bangalore,"Hulimavu, Bangalore",3560,10530,37500000,"4 BHK Villa for sale in Hulimavu, Bangalore",Large Property,Luxury Segment
